student_id,age,cgpa,attendance,backlogs,internships,projects,certifications,python_skill,sql_skill,dsa_skill,aptitude_score,placed,package_lpa
s001,24,7.57,81.84,4,0,1,2,8.0,7.2,5.3,61.0,1,5.2
s002,25,6.26,86.42,0,0,1,3,4.9,9.7,6.5,32.6,0,0.0
s003,23,6.69,83.79,0,0,4,1,8.0,6.2,5.2,50.3,1,7.3
s004,25,6.14,92.91,5,0,4,0,5.3,7.1,5.2,52.3,1,7.3
s005,25,7.14,83.0,0,0,1,1,6.6,6.0,3.2,53.1,1,7.5
s006,22,8.16,78.56,2,3,2,1,8.4,4.9,6.8,46.5,1,10.5
s007,23,6.21,82.98,1,1,2,1,7.4,7.9,5.1,66.2,1,6.6
s008,23,7.7,86.35,0,1,4,2,6.7,10.0,5.3,60.2,1,9.8
s009,23,6.67,82.39,0,0,1,2,3.0,6.7,1.8,67.3,0,0.0
s010,25,6.41,82.32,0,0,1,0,6.3,5.9,6.7,48.9,0,0.0
s011,24,7.09,76.38,2,1,3,0,4.1,6.4,3.6,46.7,0,0.0
s012,23,6.16,76.7,0,1,1,4,5.7,7.2,3.6,52.7,0,0.0
s013,25,6.65,70.78,0,1,2,0,8.1,3.0,5.5,50.7,0,0.0
s014,22,6.0,96.0,0,0,2,0,6.3,4.6,2.9,37.2,0,0.0
s015,24,9.16,72.05,1,1,2,0,9.6,3.6,3.7,82.7,0,0.0
s016,22,7.24,76.46,2,0,2,0,7.5,8.3,2.0,50.2,0,0.0
s017,24,6.5,76.25,5,2,2,1,6.4,6.3,6.0,33.6,0,0.0
s018,25,7.41,89.16,0,1,1,2,6.2,6.2,4.1,70.7,0,0.0
s019,21,7.09,79.64,2,1,3,1,7.1,8.4,9.8,50.5,1,8.9
s020,24,6.98,91.98,2,0,4,1,4.6,6.0,4.2,48.8,0,0.0
s021,22,7.81,76.61,1,1,3,2,5.8,6.7,4.3,42.2,1,5.2
s022,25,7.96,84.23,4,0,1,1,4.7,6.0,4.3,78.2,1,8.6
s023,24,6.67,75.32,0,0,1,3,2.4,9.0,5.0,40.1,0,0.0
s024,21,6.62,99.16,0,0,2,3,6.1,8.9,4.2,53.3,0,0.0
s025,21,6.92,72.5,2,1,2,0,6.3,6.1,6.0,63.6,1,7.6
s026,23,4.9,84.48,0,0,2,2,3.5,7.4,2.8,46.6,0,0.0
s027,23,5.68,87.07,2,0,3,1,7.1,7.7,2.8,46.5,0,0.0
s028,22,8.57,85.31,3,2,1,4,8.0,8.6,2.7,47.4,1,7.4
s029,24,8.84,80.52,0,0,0,1,5.3,3.8,1.9,57.9,0,0.0
s030,24,6.95,80.96,3,1,2,4,6.2,9.0,4.3,56.6,0,0.0
s031,23,7.78,82.35,0,0,3,2,7.4,6.3,5.3,51.8,1,10.5
s032,24,7.51,80.82,0,0,1,0,6.5,5.2,4.1,60.1,1,4.0
s033,24,10.0,89.71,1,1,3,1,7.7,6.4,8.5,79.8,1,9.2
s034,21,8.32,99.68,3,0,2,4,4.8,10.0,7.5,72.5,1,5.8
